emp_no,first_name,last_name,birth_date,from_date,to_date,title
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Senior Engineer
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Senior Engineer
17369,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Senior Engineer
17988,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Senior Engineer
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Senior Engineer
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Senior Engineer
19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Senior Engineer
19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Senior Engineer
20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Senior Engineer
20885,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Senior Engineer
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Senior Engineer
24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24377,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Senior Engineer
24571,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Senior Engineer
26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Senior Engineer
27620,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Senior Engineer
28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
29782,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
29954,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
30007,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Senior Engineer
30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Senior Engineer
30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Senior Engineer
30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Senior Engineer
33722,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01,Senior Engineer
34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Senior Engineer
34533,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
34788,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Senior Engineer
35441,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Senior Engineer
35642,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01,Senior Engineer
35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Senior Engineer
37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Senior Engineer
38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Senior Engineer
38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Senior Engineer
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Senior Engineer
40301,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
42911,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Senior Engineer
44540,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Senior Engineer
45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Senior Engineer
46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
46943,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Senior Engineer
47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Senior Engineer
47515,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Senior Engineer
49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Senior Engineer
49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Senior Engineer
50311,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
50831,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Senior Engineer
51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Senior Engineer
52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Senior Engineer
52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Senior Engineer
52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Senior Engineer
53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Senior Engineer
53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Senior Engineer
53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Senior Engineer
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Senior Engineer
55640,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Senior Engineer
55687,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Senior Engineer
56105,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Senior Engineer
56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Senior Engineer
56847,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,Senior Engineer
57934,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Senior Engineer
58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Senior Engineer
60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Senior Engineer
